ulp_stage_preparation_id,RUP,e-Proc,Manual,Kode RUP,Metode Pemilihan,Kriteria Barang/Jasa,Lembar catatan Pengecekan HPS  (Tgl),Lembar catatan Pengecekan HPS  (PIC),Koreksi Aritmatika HPS (Tgl),Koreksi Aritmatika HPS (PIC),Lembar Persiapan Tgl,Lembar Persiapan PIC Buat,Lembar Persiapan PIC Ka. Pokja,Pengumuman Pemilihan by LPSE (Nomor Lembar Pengumuman),Pengumuman Pemilihan by LPSE (Tgl),Pengumuman Pemilihan by LPSE (PIC),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(No. Dok),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(Tgl),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(PIC),Registrasi Draft Paket PBJ by SPSE (Buat Paket) Tgl,Registrasi Draft Paket PBJ by SPSE (Buat Paket) PIC,Undangan Reviu DPP(No. Dok),Undangan Reviu DPP(Tgl),Undangan Reviu DPP(PIC),Lembar Daftar Hadir Acara Reviu DPP (Tgl),Lembar Daftar Hadir Acara Reviu DPP (PIC),BA Reviu DPP (No. Dok),BA Reviu DPP (Tgl),BA Reviu DPP (PIC),Undangan Pemberian Penjelasan(No. Dok),Undangan Pemberian Penjelasan(Tgl),Undangan Pemberian Penjelasan(PIC),Lembar Daftar Hadir Pemberian Penjelasan(Tgl),Lembar Daftar Hadir Pemberian Penjelasan(PIC),BA Pemberian Penjelasan(No. Dok),BA Pemberian Penjelasan(Tgl),BA Pemberian Penjelasan(PIC),Dekripsi Data Penawaran(Tgl),Dekripsi Data Penawaran(PIC),BA Pembukaan Dokumen Penawaran(No. Dok),BA Pembukaan Dokumen Penawaran(Tgl),BA Pembukaan Dokumen Penawaran(PIC),Lembar Koreksi Aritmatika Penawaran Harga(Tgl),Lembar Koreksi Aritmatika Penawaran Harga(PIC ),Kertas Kerja Evaluasi Penawaran (Tgl),Kertas Kerja Evaluasi Penawaran (PIC),BA Evaluasi Penawaran (No. Dok),BA Evaluasi Penawaran (Tgl),BA Evaluasi Penawaran (PIC ),Undangan Verifikasi & Pembuktian Kualifikasi(No. Dok),Undangan Verifikasi & Pembuktian Kualifikasi(Tgl),Undangan Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(Tgl),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Nego Teknis dan Harga (Jika Ada)(Tgl),Lembar Nego Teknis dan Harga (Jika Ada)(PIC ),BA Klarifikasi dan Negosiasi Harga(No. Dok),BA Klarifikasi dan Negosiasi Harga(Tgl),BA Klarifikasi dan Negosiasi Harga(PIC ),BA Hasil Pemilihan (No. Dok),BA Hasil Pemilihan (Tgl),BA Hasil Pemilihan (PIC ),Penetapan Pemenang Pemilihan  (No. Dok),Penetapan Pemenang Pemilihan  (Tgl),Penetapan Pemenang Pemilihan  (PIC ),Pengumuman Pemenang Pemilihan  (No. Dok),Pengumuman Pemenang Pemilihan  (Tgl),Pengumuman Pemenang Pemilihan  (PIC ),Sanggahan(No. Dok),Sanggahan(Tgl Sanggah),Sanggahan(Nama Peserta),Jawaban Sanggah (Jika Ada) (No. Dok),Jawaban Sanggah (Jika Ada) (Tgl Dok),Jawaban Sanggah (Jika Ada) (PIC),Surat Usulan Kaji Ulang Paket (No. Dok),Surat Usulan Kaji Ulang Paket (Tgl),Surat Usulan Kaji Ulang Paket (PIC),Laporan Hasil Pemilihan (No. Dok),Laporan Hasil Pemilihan (Tgl),Laporan Hasil Pemilihan (PIC ),Nilai Realisasi,Dokumen SPB/SPK/Kontrak(PIC ),Dokumen SPB/SPK/Kontrak(Nomor),Dokumen SPB/SPK/Kontrak(Tanggal),Nilai Kontrak(Rp.) (BLU),Nilai Kontrak(Rp.) (Non BLU),Jangka Waktu Pekerjaan,Jangka Waktu Pekerjaan Satuan,Nama Penyedia Barang/Jasa,Nama Pimpinan Perusahaan,Contact Person,Alamat Perusahaan,KBLI Penyedia
21,1,1,,62765801,E-Purchasing,Barang,,,,,,,,,,,,12-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/490/2026,12-Jan-26,I,"Rp168,318,027",,,,168.318.027,,180,Hr Kalender,CV EKA KARSA MULIA,,," Jalan Jambusari No. 4 RT 3 RW 4 Kelurahan Mangunsari, Kecamatan Gunungpati Kota Semarang Jawa Tengah",
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,1,,65741493,E-Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/2077/2026,23-Feb-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2757/2026,4-Mar-26,P,,,,,,,,,,,BJ.01.03/D.XII.10/2758/2026,4-Mar-26,P,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2802/2026,5-Mar-26,P,Rp380.000.000,,,,380.000.000,,365,Hr Kalender,PT. Global Medik Persada,Kartika Agung Kurniawan,(021) 50899710," JL RAYA KEBON JERUK NO 26 RT 11
/02 KEBON JERUK, KEC KEBON JERUK
 ",
25,1,1,,64963284,E-Purchasing,Jasa Lainnya,,,,,,,,,,,,27-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2546/2026,2-Mar-26,Ar,Rp1.205.460.000,,,,1.205.460.000,,365,Hr Kalender,SIEMENS HEALTHINEERS INDONESIA,,,"Perkantoran Hijau Arkadia Tower F, Lantai 18, Jl.T.B.Simatupang Kav.88, Pasar Minggu, Jakarta 12520",
26,1,1,,65566190,E-Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/2792/2026,4-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2920/2026,10-Mar-26,P,,,,,,,,,,,BJ.01.03/D.XII.10/2921/2026,10-Mar-26,P,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2954/2026,10-Mar-26,I,"Rp1.325.999.998,23",,,,"1.325.999.998,23",,365,Hr Kalender,SIEMENS HEALTHINEERS INDONESIA,,,"Perkantoran Hijau Arkadia Tower F, Lantai 18, Jl.T.B.Simatupang Kav.88, Pasar Minggu, Jakarta 12520",
27,1,1,,65741418,E-Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1952/2026,20-Feb-26,P,,,BJ.01.03/D.XII.10/1881/2026,19-Feb-26,P,,,BJ.01.03/D.XII.10/1884/2026,19-Feb-26,P,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2506/2026,27-Feb-26,P,,,,,,,,,,,BJ.01.03/D.XII.10/2507/2026,27-Feb-26,P,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2507/2026,27-Feb-26,P,Rp294.812.500,,,,294.812.500,,365,Hr Kalender,PT. Global Medik Persada,Kartika Agung Kurniawan,(021) 50899710," JL RAYA KEBON JERUK NO 26 RT 11
/02 KEBON JERUK, KEC KEBON JERUK
 ",
28,1,1,,65440133,E-Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1939/2026,19-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2306/2026,26-Feb-26,Y,,,,,,,,,,,BJ.01.03/D.XII.10/2307/2026,26-Feb-26,Y,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2326/2026,27-Feb-26,I,Rp1.850.000.000,,,,1.850.000.000,,365,Hr Kalender,PT. Global Medik Persada,Kartika Agung Kurniawan,(021) 50899710," JL RAYA KEBON JERUK NO 26 RT 11
/02 KEBON JERUK, KEC KEBON JERUK
 ",
29,1,1,,62859627,E-Purchasing,Barang,,,,,,,,,,,,7-Jan-25,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/208/2025,7-Jan-25,I,"Rp99,876,080",,,,99.876.080,,14,Hr Kalender,SEKAR BUNGA,,,"Komp PU Pengairan No. 100 Kel Koang Jaya , Karawaci Kota Tangerang",
30,1,1,,62859319,E-Purchasing,Barang,,,,,,,,,,,,7-Jan-25,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/294/2025,7-Jan-25,Al,"Rp74,242,350",,,,74.242.350,,14,Hr Kalender,SEKAR BUNGA,,,"Komp PU Pengairan No. 100 Kel Koang Jaya , Karawaci Kota Tangerang",
